title,release_date,genres
Inception,2010-07-15,"Action, Science Fiction, Adventure"
Interstellar,2014-11-05,"Adventure, Drama, Science Fiction"
Avatar,2009-12-15,"Action, Adventure, Fantasy, Science Fiction"
The Avengers,2012-04-25,"Science Fiction, Action, Adventure"
Avengers: Infinity War,2018-04-25,"Adventure, Action, Science Fiction"
Guardians of the Galaxy,2014-07-30,"Action, Science Fiction, Adventure"
Iron Man,2008-04-30,"Action, Science Fiction, Adventure"
Avengers: Endgame,2019-04-24,"Adventure, Science Fiction, Action"
Avengers: Age of Ultron,2015-04-22,"Action, Adventure, Science Fiction"
Captain America: Civil War,2016-04-27,"Adventure, Action, Science Fiction"
Iron Man 3,2013-04-18,"Action, Adventure, Science Fiction"
Black Panther,2018-02-13,"Action, Adventure, Science Fiction"
Mad Max: Fury Road,2015-05-13,"Action, Adventure, Science Fiction"
The Hunger Games,2012-03-12,"Science Fiction, Adventure, Fantasy"
Spider-Man: Homecoming,2017-07-05,"Action, Adventure, Science Fiction, Drama"
Guardians of the Galaxy Vol. 2,2017-04-19,"Science Fiction, Adventure, Action"
Captain America: The First Avenger,2011-07-22,"Action, Adventure, Science Fiction"
Iron Man 2,2010-04-28,"Adventure, Action, Science Fiction"
Thor: Ragnarok,2017-10-02,"Action, Adventure, Science Fiction"
Jurassic World,2015-06-06,"Action, Adventure, Science Fiction, Thriller"
Ant-Man,2015-07-14,"Science Fiction, Action, Adventure"
The Martian,2015-09-30,"Drama, Adventure, Science Fiction"
Star Wars: The Force Awakens,2015-12-15,"Adventure, Action, Science Fiction"
Spider-Man: No Way Home,2021-12-15,"Action, Adventure, Science Fiction"
Logan,2017-02-28,"Action, Drama, Science Fiction"
Captain America: The Winter Soldier,2014-03-20,"Action, Adventure, Science Fiction"
WALL·E,2008-06-22,"Animation, Family, Science Fiction"
Arrival,2016-11-10,"Drama, Science Fiction, Mystery"
The Hunger Games: Catching Fire,2013-11-15,"Adventure, Action, Science Fiction"
The Maze Runner,2014-09-10,"Action, Mystery, Science Fiction, Thriller"
Lucy,2014-07-25,"Action, Science Fiction"
The Hunger Games: Mockingjay - Part 1,2014-11-19,"Science Fiction, Adventure, Thriller"
Venom,2018-09-28,"Science Fiction, Action"
The Prestige,2006-10-19,"Drama, Mystery, Science Fiction"
I Am Legend,2007-12-12,"Drama, Science Fiction, Thriller"
Captain Marvel,2019-03-06,"Action, Adventure, Science Fiction"
Spider-Man: Far From Home,2019-06-28,"Action, Adventure, Science Fiction"
Gravity,2013-10-03,"Science Fiction, Thriller, Drama"
X-Men: Days of Future Past,2014-05-15,"Action, Adventure, Science Fiction"
Ready Player One,2018-03-28,"Adventure, Action, Science Fiction"
World War Z,2013-06-20,"Action, Drama, Horror, Science Fiction, Thriller"
Rogue One: A Star Wars Story,2016-12-14,"Action, Adventure, Science Fiction"
Star Wars: The Last Jedi,2017-12-13,"Adventure, Action, Science Fiction"
Man of Steel,2013-06-12,"Action, Adventure, Science Fiction"
Spider-Man: Into the Spider-Verse,2018-12-06,"Action, Adventure, Animation, Science Fiction"
Eternal Sunshine of the Spotless Mind,2004-03-19,"Science Fiction, Drama, Romance"
V for Vendetta,2006-02-23,"Action, Thriller, Science Fiction"
Her,2013-12-18,"Romance, Science Fiction, Drama"
A Quiet Place,2018-04-03,"Horror, Drama, Science Fiction"
Edge of Tomorrow,2014-05-27,"Action, Science Fiction"
Star Wars: Episode III - Revenge of the Sith,2005-05-17,"Adventure, Action, Science Fiction"
Ant-Man and the Wasp,2018-07-04,"Action, Adventure, Science Fiction"
Passengers,2016-12-21,"Drama, Romance, Science Fiction"
Ex Machina,2015-01-21,"Drama, Science Fiction"
Blade Runner 2049,2017-10-04,"Science Fiction, Drama"
Star Wars: Episode II - Attack of the Clones,2002-05-15,"Adventure, Action, Science Fiction"
Justice League,2017-11-15,"Action, Adventure, Science Fiction"
X-Men: Apocalypse,2016-05-18,"Action, Adventure, Science Fiction, Fantasy"
Divergent,2014-03-14,"Action, Adventure, Science Fiction"
X-Men: First Class,2011-06-01,"Action, Science Fiction, Adventure"
Pacific Rim,2013-07-11,"Action, Science Fiction, Adventure"
The Hunger Games: Mockingjay - Part 2,2015-11-18,"Action, Adventure, Science Fiction"
2012,2009-10-10,"Action, Adventure, Science Fiction"
Prometheus,2012-05-30,"Science Fiction, Adventure, Mystery"
The Incredible Hulk,2008-06-12,"Science Fiction, Action, Adventure"
"I, Robot",2004-07-15,"Action, Science Fiction"
Rise of the Planet of the Apes,2011-08-03,"Thriller, Action, Drama, Science Fiction"
In Time,2011-10-27,"Action, Thriller, Science Fiction"
X-Men,2000-07-13,"Adventure, Action, Science Fiction"
Transformers,2007-06-27,"Adventure, Science Fiction, Action"
Jurassic World: Fallen Kingdom,2018-06-22,"Action, Adventure, Science Fiction, Thriller"
Dawn of the Planet of the Apes,2014-06-26,"Science Fiction, Action, Drama, Thriller"
The Matrix Reloaded,2003-05-15,"Adventure, Action, Thriller, Science Fiction"
Oblivion,2013-04-10,"Action, Science Fiction, Adventure, Mystery"
